zip_code_prefix,lat,lng,city,state,state_name
1001,-23.549292,-46.633559,sao paulo,SP,São Paulo
1002,-23.548318,-46.635421,sao paulo,SP,São Paulo
1003,-23.549032,-46.635313,sao paulo,SP,São Paulo
1004,-23.550116,-46.635122,sao paulo,SP,São Paulo
1005,-23.549819,-46.635606,sao paulo,SP,São Paulo
1006,-23.550524,-46.636694,sao paulo,SP,São Paulo
1007,-23.550393,-46.637302,sao paulo,SP,São Paulo
1008,-23.544255,-46.634639,sao paulo,SP,São Paulo
1009,-23.546935,-46.636588,sao paulo,SP,São Paulo
1010,-23.547807,-46.636122,sao paulo,SP,São Paulo
1011,-23.547640,-46.636032,sao paulo,SP,São Paulo
1012,-23.547762,-46.635361,são paulo,SP,São Paulo
1013,-23.546923,-46.634264,sao paulo,SP,São Paulo
1014,-23.546435,-46.633830,sao paulo,SP,São Paulo
1015,-23.544826,-46.630870,sao paulo,SP,São Paulo
1016,-23.548495,-46.633491,sao paulo,SP,São Paulo
1017,-23.550011,-46.631166,são paulo,SP,São Paulo
1018,-23.550219,-46.631880,sao paulo,SP,São Paulo
1019,-23.552152,-46.630802,sao paulo,SP,São Paulo
1020,-23.552235,-46.628441,são paulo,SP,São Paulo
1021,-23.545168,-46.632249,sao paulo,SP,São Paulo
1022,-23.544987,-46.633454,sao paulo,SP,São Paulo
1023,-23.542603,-46.630943,sao paulo,SP,São Paulo
1024,-23.541390,-46.629899,são paulo,SP,São Paulo
1025,-23.539921,-46.628348,sao paulo,SP,São Paulo
1026,-23.539495,-46.632844,são paulo,SP,São Paulo
1027,-23.538301,-46.630764,sao paulo,SP,São Paulo
1028,-23.536028,-46.632879,sao paulo,SP,São Paulo
1029,-23.543769,-46.634278,sao paulo,SP,São Paulo
1030,-23.538364,-46.632930,são paulo,SP,São Paulo
1031,-23.536864,-46.633493,sao paulo,SP,São Paulo
1032,-23.538418,-46.634778,sao paulo,SP,São Paulo
1033,-23.540321,-46.636395,sao paulo,SP,São Paulo
1034,-23.542392,-46.637709,sao paulo,SP,São Paulo
1035,-23.541578,-46.641607,sao paulo,SP,São Paulo
1036,-23.541700,-46.641318,sao paulo,SP,São Paulo
1037,-23.545621,-46.639292,sao paulo,SP,São Paulo
1038,-23.542680,-46.638197,sao paulo,SP,São Paulo
1039,-23.541883,-46.639919,sao paulo,SP,São Paulo
1040,-23.540317,-46.637355,sao paulo,SP,São Paulo
1041,-23.544392,-46.639499,sao paulo,SP,São Paulo
1042,-23.544874,-46.640303,sao paulo,SP,São Paulo
1043,-23.546657,-46.640788,são paulo,SP,São Paulo
1044,-23.545751,-46.641327,sao paulo,SP,São Paulo
1045,-23.541594,-46.641894,sao paulo,SP,São Paulo
1046,-23.546081,-46.644820,sao paulo,SP,São Paulo
1047,-23.546273,-46.641225,sao paulo,SP,São Paulo
1048,-23.547449,-46.640169,são paulo,SP,São Paulo
1049,-23.545307,-46.636995,sao paulo,SP,São Paulo
1050,-23.549774,-46.645599,sao paulo,SP,São Paulo
1101,-23.533719,-46.633278,sao paulo,SP,São Paulo
1102,-23.522610,-46.629424,são paulo,SP,São Paulo
1103,-23.535389,-46.631748,são paulo,SP,São Paulo
1104,-23.535218,-46.624612,sao paulo,SP,São Paulo
1105,-23.533744,-46.630635,sao paulo,SP,São Paulo
1106,-23.532496,-46.626406,sao paulo,SP,São Paulo
1107,-23.522005,-46.633974,sao paulo,SP,São Paulo
1108,-23.523760,-46.632415,sao paulo,SP,São Paulo
1109,-23.525355,-46.627542,sao paulo,SP,São Paulo
1120,-23.530760,-46.639216,sao paulo,SP,São Paulo
1121,-23.524588,-46.634392,sao paulo,SP,São Paulo
1122,-23.531281,-46.637260,são paulo,SP,São Paulo
1123,-23.529307,-46.634905,sao paulo,SP,São Paulo
1124,-23.527367,-46.631883,sao paulo,SP,São Paulo
1125,-23.529050,-46.638894,sao paulo,SP,São Paulo
1126,-23.529151,-46.640423,sao paulo,SP,São Paulo
1127,-23.527735,-46.644800,sao paulo,SP,São Paulo
1128,-23.522969,-46.641749,sao paulo,SP,São Paulo
1129,-23.525924,-46.642132,sao paulo,SP,São Paulo
1130,-23.526638,-46.643810,sao paulo,SP,São Paulo
1131,-23.521642,-46.647476,sao paulo,SP,São Paulo
1132,-23.519292,-46.649801,sao paulo,SP,São Paulo
1133,-23.522591,-46.651049,sao paulo,SP,São Paulo
1134,-23.518677,-46.653116,são paulo,SP,São Paulo
1135,-23.521221,-46.652963,sao paulo,SP,São Paulo
1136,-23.523510,-46.666944,são paulo,SP,São Paulo
1137,-23.519573,-46.654272,são paulo,SP,São Paulo
1138,-23.518825,-46.655624,sao paulo,SP,São Paulo
1139,-23.520760,-46.661384,sao paulo,SP,São Paulo
1140,-23.517930,-46.667430,sao paulo,SP,São Paulo
1141,-23.520119,-46.665840,são paulo,SP,São Paulo
1142,-23.519934,-46.625130,sao paulo,SP,São Paulo
1144,-23.523624,-46.672016,sao paulo,SP,São Paulo
1150,-23.532255,-46.662756,sao paulo,SP,São Paulo
1151,-23.527788,-46.660310,sao paulo,SP,São Paulo
1152,-23.529169,-46.652148,sao paulo,SP,São Paulo
1153,-23.528119,-46.656452,são paulo,SP,São Paulo
1154,-23.531581,-46.661747,sao paulo,SP,São Paulo
1155,-23.528788,-46.664404,sao paulo,SP,São Paulo
1156,-23.529827,-46.664666,são paulo,SP,São Paulo
1189,-23.532108,-46.638395,sao paulo,SP,São Paulo
1200,-23.531568,-46.649869,sao paulo,SP,São Paulo
1201,-23.534357,-46.649356,sao paulo,SP,São Paulo
1202,-23.530244,-46.650910,são paulo,SP,São Paulo
1203,-23.537119,-46.644387,sao paulo,SP,São Paulo
1204,-23.536801,-46.644416,sao paulo,SP,São Paulo
1205,-23.531760,-46.645926,são paulo,SP,São Paulo
1206,-23.535536,-46.643052,sao paulo,SP,São Paulo
1207,-23.536841,-46.640393,sao paulo,SP,São Paulo
1208,-23.540823,-46.639715,sao paulo,SP,São Paulo
1209,-23.539447,-46.639378,sao paulo,SP,São Paulo
1210,-23.540861,-46.643855,são paulo,SP,São Paulo
1211,-23.535822,-46.651605,sao paulo,SP,São Paulo
1212,-23.537511,-46.637057,são paulo,SP,São Paulo
1213,-23.536400,-46.640038,sao paulo,SP,São Paulo
1214,-23.535696,-46.641413,sao paulo,SP,São Paulo
1215,-23.537982,-46.649276,são paulo,SP,São Paulo
1216,-23.535973,-46.651407,sao paulo,SP,São Paulo
1217,-23.533845,-46.649407,sao paulo,SP,São Paulo
1218,-23.531545,-46.650669,são paulo,SP,São Paulo
1219,-23.540224,-46.645277,sao paulo,SP,São Paulo
1220,-23.542758,-46.645474,sao paulo,SP,São Paulo
1221,-23.546015,-46.649002,sao paulo,SP,São Paulo
1222,-23.547160,-46.649895,são paulo,SP,São Paulo
1223,-23.543773,-46.648273,sao paulo,SP,São Paulo
1224,-23.541719,-46.648831,sao paulo,SP,São Paulo
1225,-23.540647,-46.648252,sao paulo,SP,São Paulo
1226,-23.534479,-46.655028,são paulo,SP,São Paulo
1227,-23.537290,-46.654431,sao paulo,SP,São Paulo
1228,-23.548393,-46.659018,sao paulo,SP,São Paulo
1229,-23.541087,-46.657339,sao paulo,SP,São Paulo
1230,-23.532735,-46.654324,sao paulo,SP,São Paulo
1231,-23.536708,-46.659642,sao paulo,SP,São Paulo
1232,-23.536767,-46.655073,sao paulo,SP,São Paulo
1233,-23.540299,-46.662784,sao paulo,SP,São Paulo
1234,-23.537055,-46.663617,sao paulo,SP,São Paulo
1235,-23.536460,-46.664247,sao paulo,SP,São Paulo
1236,-23.541692,-46.667473,sao paulo,SP,São Paulo
1237,-23.544318,-46.669823,sao paulo,SP,São Paulo
1238,-23.541953,-46.659318,sao paulo,SP,São Paulo
1239,-23.548782,-46.657460,sao paulo,SP,São Paulo
1240,-23.543787,-46.658612,sao paulo,SP,São Paulo
1241,-23.545677,-46.656993,são paulo,SP,São Paulo
1242,-23.547527,-46.655803,sao paulo,SP,São Paulo
1243,-23.549470,-46.655098,sao paulo,SP,São Paulo
1244,-23.544993,-46.659680,sao paulo,SP,São Paulo
1245,-23.549297,-46.663595,são paulo,SP,São Paulo
1246,-23.552591,-46.666405,sao paulo,SP,São Paulo
1247,-23.551342,-46.669377,são paulo,SP,São Paulo
1248,-23.547308,-46.667892,sao paulo,SP,São Paulo
1249,-23.547566,-46.669770,sao paulo,SP,São Paulo
1250,-23.548106,-46.672551,sao paulo,SP,São Paulo
1251,-23.547008,-46.673993,são paulo,SP,São Paulo
1252,-23.541732,-46.677108,sao paulo,SP,São Paulo
1253,-23.543208,-46.680245,sao paulo,SP,São Paulo
1254,-23.541968,-46.681914,são paulo,SP,São Paulo
1255,-23.545782,-46.681198,sao paulo,SP,São Paulo
1256,-23.548568,-46.683293,são paulo,SP,São Paulo
1257,-23.545072,-46.684381,sao paulo,SP,São Paulo
1258,-23.544993,-46.685597,sao paulo,SP,São Paulo
1259,-23.543357,-46.683946,sao paulo,SP,São Paulo
1262,-23.550856,-46.677352,sao paulo,SP,São Paulo
1290,-23.540961,-46.657749,são paulo,SP,São Paulo
1301,-23.550813,-46.655258,sao paulo,SP,São Paulo
1302,-23.547651,-46.643577,sao paulo,SP,São Paulo
1303,-23.550011,-46.648182,sao paulo,SP,São Paulo
1304,-23.552179,-46.652992,sao paulo,SP,São Paulo
1305,-23.556083,-46.658023,sao paulo,SP,São Paulo
1306,-23.554334,-46.649674,sao paulo,SP,São Paulo
1307,-23.549361,-46.654124,sao paulo,SP,São Paulo
1308,-23.555183,-46.652262,sao paulo,SP,São Paulo
1309,-23.557324,-46.656929,são paulo,SP,São Paulo
1310,-23.556927,-46.661542,sao paulo,SP,São Paulo
1311,-23.560566,-46.657610,sao paulo,SP,São Paulo
1312,-23.553646,-46.648278,sao paulo,SP,São Paulo
1313,-23.556513,-46.650253,sao paulo,SP,São Paulo
1314,-23.550271,-46.641530,sao paulo,SP,São Paulo
1315,-23.552593,-46.640683,sao paulo,SP,São Paulo
1316,-23.552982,-46.639774,sao paulo,SP,São Paulo
1317,-23.562811,-46.645380,sao paulo,SP,São Paulo
1318,-23.565038,-46.647316,sao paulo,SP,São Paulo
1319,-23.551563,-46.640213,são paulo,SP,São Paulo
1320,-23.557338,-46.638777,sao paulo,SP,São Paulo
1321,-23.558961,-46.640892,sao paulo,SP,São Paulo
1322,-23.564190,-46.643570,sao paulo,SP,São Paulo
1323,-23.563601,-46.640969,sao paulo,SP,São Paulo
1324,-23.551359,-46.643391,sao paulo,SP,São Paulo
1325,-23.560404,-46.644091,sao paulo,SP,São Paulo
1326,-23.558908,-46.645172,sao paulo,SP,São Paulo
1327,-23.565219,-46.645152,sao paulo,SP,São Paulo
1328,-23.555429,-46.645338,sao paulo,SP,São Paulo
1329,-23.563146,-46.646619,sao paulo,SP,São Paulo
1330,-23.556818,-46.649861,sao paulo,SP,São Paulo
1331,-23.562328,-46.650328,sao paulo,SP,São Paulo
1332,-23.559875,-46.653127,sao paulo,SP,São Paulo
1333,-23.563570,-46.651842,sao paulo,SP,São Paulo
1401,-23.569748,-46.651004,sao paulo,SP,São Paulo
1402,-23.584067,-46.669981,sao paulo,SP,São Paulo
1403,-23.570347,-46.653151,são paulo,SP,São Paulo
1404,-23.569943,-46.657094,sao paulo,SP,São Paulo
